City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Roald,NO,62.5833,6.1333,62.91,94,75,23.02,light intensity drizzle rain
80,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,73,0,12.66,clear sky
81,Ossora,RU,59.2353,163.0719,54.23,95,100,10.85,moderate rain
82,Murashi,RU,59.3999,48.9615,49.26,98,76,5.03,broken clouds
83,Merauke,ID,-8.4667,140.3333,76.75,84,63,14.79,broken clouds
84,Nanortalik,GL,60.1432,-45.2371,44.26,91,94,5.03,moderate rain
85,La Ronge,CA,55.1001,-105.2842,64.45,46,16,7.38,few clouds
86,Saint-Augustin,CA,51.226,-58.6502,64.22,57,0,10.71,clear sky
87,Iqaluit,CA,63.7506,-68.5145,54.7,66,3,10.0,clear sky
88,Bluff,NZ,-46.6,168.3333,44.8,67,74,8.28,broken clouds
89,Cape Town,ZA,-33.9258,18.4232,57.34,92,93,4.0,overcast clouds
90,Mount Isa,AU,-20.7333,139.5,51.57,54,0,0.0,clear sky
91,Saskylakh,RU,71.9167,114.0833,49.3,78,45,12.48,scattered clouds
92,Bandarbeyla,SO,9.4942,50.8122,77.07,80,94,32.53,overcast clouds
93,Skjervoy,NO,70.0311,20.9714,55.4,89,100,11.74,light rain
94,Mogadishu,SO,2.0371,45.3438,76.08,85,100,18.25,light rain
95,Qaanaaq,GL,77.484,-69.3632,38.39,64,91,2.66,overcast clouds
96,Tazovskiy,RU,67.4667,78.7,46.4,88,100,8.34,overcast clouds
97,Esperance,AU,-33.8667,121.9,56.53,73,69,19.64,broken clouds
98,Kodiak,US,57.79,-152.4072,56.71,88,100,5.75,overcast clouds
99,Saldanha,ZA,-33.0117,17.9442,57.25,92,100,1.66,overcast clouds
100,Agua Dulce,MX,18.1333,-94.1333,80.38,69,20,11.56,few clouds
101,Vanavara,RU,60.34,102.2797,52.52,93,32,1.66,scattered clouds
102,Romans-Sur-Isere,FR,45.0464,5.0562,72.45,48,41,9.89,scattered clouds
103,Lompoc,US,34.6391,-120.4579,90.01,61,0,13.8,clear sky
104,Sivaki,RU,52.6333,126.75,53.2,95,92,4.54,overcast clouds
105,Castro,BR,-24.7911,-50.0119,47.8,90,99,11.03,overcast clouds
106,Sao Joao Batista,BR,-27.2761,-48.8494,59.11,90,100,2.68,light rain
107,Tuktoyaktuk,CA,69.4541,-133.0374,47.43,75,100,18.63,overcast clouds
108,Hambantota,LK,6.1241,81.1185,77.22,85,68,17.47,broken clouds
109,Kareli,IN,22.9167,79.0667,75.2,96,100,6.06,light rain
110,Tura,IN,25.5198,90.2201,73.78,90,80,6.42,broken clouds
111,Yeppoon,AU,-23.1333,150.7333,60.58,82,26,11.18,scattered clouds
112,Arlit,NE,18.7369,7.3853,95.29,27,16,14.05,few clouds
113,Summerside,CA,46.3959,-63.7876,67.46,80,82,4.72,broken clouds
114,Charlestown,AU,-32.95,151.6667,52.74,95,57,4.92,light rain
115,Eberswalde,DE,52.8349,13.8195,72.21,55,2,7.52,clear sky
116,Bengkulu,ID,-3.8004,102.2655,74.73,87,39,3.58,scattered clouds
117,Amapa,BR,1.0,-52.0,78.98,73,100,2.46,overcast clouds
118,Yantzaza,EC,-3.8278,-78.7594,71.4,92,96,1.95,moderate rain
119,Te Anau,NZ,-45.4167,167.7167,36.5,86,29,0.89,scattered clouds
120,Butaritari,KI,3.0707,172.7902,82.02,74,87,20.6,light rain
