City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Khatanga,RU,2022-08-08 19:37:57,71.9667,102.5,56.1,95,100,7.9
68,Elda,ES,2022-08-08 19:37:58,38.4778,-0.7916,80.91,68,0,3.98
69,Kargasok,RU,2022-08-08 19:37:58,59.0556,80.8572,55.99,77,58,5.79
70,Talnakh,RU,2022-08-08 19:37:58,69.4865,88.3972,63.21,96,61,5.46
71,Bumba,CD,2022-08-08 19:37:59,2.1833,22.4667,73.35,87,97,1.77
72,Lahat,ID,2022-08-08 19:37:59,-3.8,103.5333,74.8,88,96,1.39
73,Puerto Ayora,EC,2022-08-08 19:35:54,-0.7393,-90.3518,76.96,85,39,7.0
74,Bereslavka,RU,2022-08-08 19:37:59,48.6254,44.0449,74.17,37,4,9.08
75,Bambous Virieux,MU,2022-08-08 19:38:00,-20.3428,57.7575,70.05,78,40,6.91
76,Walvis Bay,NA,2022-08-08 19:33:40,-22.9575,14.5053,56.35,82,6,1.14
77,Tonantins,BR,2022-08-08 19:38:00,-2.8731,-67.8022,88.27,58,80,2.59
78,Hamilton,US,2022-08-08 19:35:09,39.1834,-84.5333,92.75,68,40,14.97
79,Ikongo,MG,2022-08-08 19:38:01,-21.8833,47.4333,60.53,96,53,1.81
80,Bluff,NZ,2022-08-08 19:38:01,-46.6,168.3333,34.81,68,2,17.36
81,Ostrovnoy,RU,2022-08-08 19:38:02,68.0531,39.5131,48.47,90,64,8.52
82,Port Alfred,ZA,2022-08-08 19:38:02,-33.5906,26.891,58.17,97,42,2.55
83,Saint-Augustin,CA,2022-08-08 19:38:03,51.226,-58.6502,64.09,50,100,12.41
84,Batagay-Alyta,RU,2022-08-08 19:38:03,67.8006,130.4114,53.15,83,94,3.2
85,Quatre Cocos,MU,2022-08-08 19:38:04,-20.2078,57.7625,69.91,76,4,13.27
86,Sangar,RU,2022-08-08 19:38:04,63.9242,127.4739,52.88,85,56,2.01
87,Poum,NC,2022-08-08 19:38:05,-20.2333,164.0167,71.44,72,90,20.38
88,Esperance,AU,2022-08-08 19:38:05,-33.8667,121.9,51.66,86,100,10.58
89,Bredasdorp,ZA,2022-08-08 19:34:16,-34.5322,20.0403,54.18,95,100,4.88
90,Nizhneudinsk,RU,2022-08-08 19:39:06,54.9076,99.0276,53.62,83,24,1.83
91,Port Lincoln,AU,2022-08-08 19:39:07,-34.7333,135.8667,51.26,73,0,10.11
92,Sawang Daen Din,TH,2022-08-08 19:39:07,17.4753,103.4575,76.17,99,100,6.06
93,Nikolskoye,RU,2022-08-08 19:39:08,59.7035,30.7861,57.79,96,96,1.99
94,Port Elizabeth,ZA,2022-08-08 19:38:26,-33.918,25.5701,61.11,99,0,1.14
95,Taoudenni,ML,2022-08-08 19:39:09,22.6783,-3.9836,107.04,9,0,11.18
96,Bilibino,RU,2022-08-08 19:39:10,68.0546,166.4372,48.25,56,44,3.27
97,Asosa,ET,2022-08-08 19:39:10,10.0667,34.5333,61.12,94,99,3.0
98,Jiamusi,CN,2022-08-08 19:38:30,46.8333,130.35,57.56,78,0,10.42
99,Mitu,CO,2022-08-08 19:39:10,1.1983,-70.1733,78.98,81,100,1.14
100,Sarishabari,BD,2022-08-08 19:39:11,24.7333,89.8333,81.18,86,7,13.09
101,Tasiilaq,GL,2022-08-08 19:39:11,65.6145,-37.6368,42.96,98,100,4.27
102,Sao Filipe,CV,2022-08-08 19:39:12,14.8961,-24.4956,78.96,84,100,7.67
103,Longyearbyen,SJ,2022-08-08 19:39:12,78.2186,15.6401,49.84,71,75,13.8
104,Vaini,TO,2022-08-08 19:39:12,-21.2,-175.2,75.36,94,20,9.22
105,Kaitangata,NZ,2022-08-08 19:39:13,-46.2817,169.8464,35.78,77,38,8.52
106,Flinders,AU,2022-08-08 19:39:14,-34.5833,150.8552,50.38,79,56,12.41
107,San Patricio,US,2022-08-08 19:39:14,28.017,-97.5169,93.09,39,8,15.97
108,Cidreira,BR,2022-08-08 19:39:14,-30.1811,-50.2056,58.66,89,100,14.9
109,Fowa,NG,2022-08-08 19:39:15,8.9167,6.4,74.73,91,87,3.06
110,Upernavik,GL,2022-08-08 19:39:15,72.7868,-56.1549,43.34,75,100,5.82
111,Coihaique,CL,2022-08-08 19:39:15,-45.5752,-72.0662,46.35,46,100,5.75
