City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
244,Ca Mau,VN,76.48,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
245,North Bend,US,77.23,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
246,Alta Floresta,BR,83.97,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
248,Bonthe,SL,76.08,moderate rain,7.5264,-12.505,Bonthe Holiday Village
249,Hay River,CA,80.92,broken clouds,60.8156,-115.7999,Ptarmigan Inn
250,Linfen,CN,77.52,overcast clouds,36.0889,111.5189,Suoxing Hotel
251,Kushima,JP,81.09,broken clouds,31.4583,131.2333,Hanaoka
258,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
259,Sur,OM,88.23,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
262,Bonfim,BR,83.46,broken clouds,3.0833,-59.95,
263,Nalut,LY,85.12,clear sky,30.3333,10.85,
264,Paralimni,CY,79.29,clear sky,35.0375,33.9833,Amore Hotel Apartments
268,Shimoda,JP,84.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
270,Cao Bang,VN,75.27,overcast clouds,22.6667,106.25,khách sạn 88
271,Kamenka,RU,76.75,overcast clouds,51.3223,42.7678,
273,Westport,US,88.3,clear sky,41.1415,-73.3579,The Westport Inn
274,Beni Suef,EG,84.33,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
275,Catuday,PH,78.71,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
285,Ajdabiya,LY,80.13,clear sky,30.7554,20.2263,Almadina Hotel
286,Padang,ID,77.2,scattered clouds,-0.9492,100.3543,Mercure Padang
289,Marzuq,YE,79.75,overcast clouds,14.4,46.4667,
295,Baena,ES,82.65,clear sky,37.6167,-4.3225,La Casa Grande
297,Bethel,US,87.19,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
299,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
300,Jizan,SA,86.94,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
301,Morant Bay,JM,87.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
304,Barcelona,ES,84.54,few clouds,41.3888,2.159,Axel Hotel Barcelona
305,Sao Filipe,CV,78.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
309,Avera,US,89.11,overcast clouds,33.194,-82.5271,
310,Rayagada,IN,75.11,overcast clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
312,Corinto,GR,77.9,clear sky,37.9407,22.9573,Ephira Hotel
313,Candolim,IN,78.8,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
314,Mana,GF,79.5,broken clouds,5.6592,-53.7767,LE SAMANA
318,Itarema,BR,77.34,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
322,Nanakuli,US,89.55,few clouds,21.3906,-158.1547,Camp Pālehua
325,Fortuna,US,75.09,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
327,Acarau,BR,77.5,clear sky,-2.8856,-40.12,castelo pizzaria
331,Veraval,IN,80.42,overcast clouds,20.9,70.3667,Lords Inn Somnath
332,Savannah Bight,HN,82.56,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
335,Loiza,PR,84.69,few clouds,18.4313,-65.8802,Vacation Realty
336,Big Rapids,US,82.47,clear sky,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
340,Iralaya,HN,80.96,overcast clouds,15.0,-83.2333,Iglesia morava renovada
341,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
342,Napa,US,89.56,clear sky,38.4832,-122.3344,Fortuna Ranch
343,Korla,CN,86.68,scattered clouds,41.7597,86.1469,Gulisitan Hotel
345,Bangkalan,ID,80.55,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
346,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
347,Padilla,CO,83.77,overcast clouds,3.2204,-76.3139,La Granadina
348,Ube,JP,85.23,broken clouds,33.9431,131.2511,"ANA Crowne Plaza Ube, an IHG Hotel"
349,Puri,IN,77.52,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
350,Chernoyerkovskaya,RU,80.83,broken clouds,45.4331,37.7686,Chernoyerkovskaya
352,Impfondo,CG,75.15,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
353,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
354,Fare,PF,77.79,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
355,Manaure,CO,87.76,overcast clouds,11.7751,-72.4445,Hotel Palaaima
363,Simbahan,PH,82.27,overcast clouds,6.3032,120.5836,
366,Bogande,BF,79.92,few clouds,12.9714,-0.1436,Auberge Wendkouni
368,Beyneu,KZ,81.19,clear sky,45.3167,55.2,NUR
371,Gizo,SB,81.75,scattered clouds,-8.103,156.8419,Imagination Island
372,Agua Verde,MX,87.89,overcast clouds,22.9,-106.05,
374,Evansville,US,84.34,scattered clouds,37.9748,-87.5558,Le Merigot Hotel
375,Tutoia,BR,78.84,clear sky,-2.7619,-42.2744,Tutóia Pousada Vila Beach
376,Oussouye,SN,82.58,overcast clouds,12.485,-16.5469,Auberge du Routard
378,Auki,SB,80.71,scattered clouds,-8.7676,160.7034,Auki Motel
379,Tefe,BR,84.31,scattered clouds,-3.3542,-64.7114,Aracati Hotel
381,Kidal,ML,88.09,light rain,18.4411,1.4078,
384,Kutum,SD,75.33,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
386,Kattivakkam,IN,85.06,overcast clouds,13.2167,80.3167,Euronova Freezer
387,Russell,US,78.39,light rain,32.3502,-85.1999,Macs
389,Turan,VN,78.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
390,Hasaki,JP,82.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
395,Caucaia,BR,79.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
396,Rudbar,AF,85.93,scattered clouds,30.15,62.6,
397,Vanimo,PG,77.14,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
398,Wiarton,CA,81.39,clear sky,44.7407,-81.1332,Waterview On The Bay
402,Nicoya,CR,77.7,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
403,Hatsukaichi,JP,84.15,overcast clouds,34.35,132.3333,ホテル WAVE
408,Luganville,VU,75.22,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
412,Liku,ID,75.07,overcast clouds,-0.7275,119.8922,Kost annisa
413,Terra Santa,BR,84.18,broken clouds,-2.1042,-56.4869,Hotel Sarah
414,Barroquinha,BR,77.14,few clouds,-3.0189,-41.1361,Pousada barroquinha
421,Amahai,ID,75.79,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
422,Half Moon Bay,US,87.91,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
426,Kismayo,SO,75.4,light rain,-0.3582,42.5454,Agan-Hotel
427,Kirakira,SB,80.78,light rain,-10.4544,161.9205,SanBiz Lodge
428,Vicksburg,US,82.13,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
430,Saint Anthony,US,88.34,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
431,Nanzhou,CN,81.5,overcast clouds,29.3596,112.4024,兴禹国际大酒店
432,Abreus,CU,88.11,broken clouds,22.2775,-80.5675,
434,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
439,Ati,TD,77.94,overcast clouds,13.2154,18.3353,
441,Bitung,ID,76.05,broken clouds,1.4451,125.1824,K2 Lembeh
443,Winnemucca,US,86.05,few clouds,40.973,-117.7357,Winners Inn Casino
447,Yumen,CN,75.74,clear sky,40.2833,97.2,
